quote,author
"Everyone has been made for some particular work, and the desire for that work has been put in every heart.",Rumi
"When you have got an elephant by the hind legs and he is trying to run away, it''s best to let him run.",Abraham Lincoln
Kindness is the language which the deaf can hear and the blind can see.,Mark Twain
Be the chief but never the lord.,Lao Tzu
Every action of our lives touches on some chord that will vibrate in eternity.,Edwin Chapin
"I may not know everything, but everything is not known yet anyway.",Byron Pulsifer
The bird of paradise alights only upon the hand that does not grasp.,John Berry
"If we could see the miracle of a single flower clearly, our whole life would change.",Buddha
"You have to take it as it happens, but you should try to make it happen the way you want to take it.",Old German proverb
Without this playing with fantasy no creative work has ever yet come to birth. The debt we owe to the play of the imagination is incalculable.,Carl Jung
You cannot travel the path until you have become the path itself.,Buddha
"I believe that we are solely responsible for our choices, and we have to accept the consequences of every deed, word, and thought throughout our lifetime.",Elisabeth Kubler-Ross
Keep your eyes on the stars and your feet on the ground.,Theodore Roosevelt
"I am not afraid of tomorrow, for I have seen yesterday and I love today.",William White
"Limitations live only in our minds. But if we use our imaginations, our possibilities become limitless.",Jamie Paolinetti
"If you are patient in one moment of anger, you will escape one hundred days of sorrow.",Chinese proverb
Character develops itself in the stream of life.,Johann Wolfgang von Goethe
"If you want a thing done well, do it yourself.",Napoleon Bonaparte
All the great performers I have worked with are fuelled by a personal dream.,John Eliot
It's so simple to be wise. Just think of something stupid to say and then don't say it.,Sam Levenson
No one has ever become poor by giving.,Anne Frank
"You can adopt the attitude there is nothing you can do, or you can see the challenge as your call to action.",Catherine Pulsifer
"Everything can be taken from a man but ... the last of the human freedoms � to choose ones attitude in any given set of circumstances, to choose ones own way.",Victor Frankl
I think and that is all that I am.,Wayne Dyer
The greatest barrier to success is the fear of failure.,Eriksson
"Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather.",John Ruskin
"If you are patient in one moment of anger, you will escape one hundred days of sorrow.",Chinese proverb
"I want you to be everything that''s you, deep at the center of your being.",Confucius
The heart has eyes which the brain knows nothing of.,Charles Perkhurst
"If you aren''t going all the way, why go at all?",Joe Namath
"Our greatest glory is not in never falling, but in rising every time we fall.",Confucius
We choose our destiny in the way we treat others.,Wit
There are things so deep and complex that only intuition can reach it in our stage of development as human beings.,John Astin
"If one advances confidently in the direction of his dream, and endeavours to live the life which he had imagines, he will meet with a success unexpected in common hours.",Henry David Thoreau
"The beginning of wisdom is found in doubting; by doubting we come to the question, and by seeking we may come upon the truth.",Pierre Abelard
We can only be said to be alive in those moments when our hearts are conscious of our treasures.,Thornton Wilder
Wicked people are always surprised to find ability in those that are good.,Marquis Vauvenargues
"We are shaped by our thoughts; we become what we think. When the mind is pure, joy follows like a shadow that never leaves.",Buddha
"Happiness is when what you think, what you say, and what you do are in harmony.",Mohandas Gandhi
A wise man can learn more from a foolish question than a fool can learn from a wise answer.,Bruce Lee
"You have enemies? Good. That means you''ve stood up for something, sometime in your life.",Winston Churchill
Kind words do not cost much. Yet they accomplish much.,Blaise Pascal
I destroy my enemies when I make them my friends.,Abraham Lincoln
Feeling and longing are the motive forces behind all human endeavor and human creations.,Albert Einstein
"Any of us can achieve virtue, if by virtue we merely mean the avoidance of the vices that do not attract us.",Robert Lynd
"Stay committed to your decisions, but stay flexible in your approach.",Tony Robbins
"The path to success is to take massive, determined action.",Anthony Robbins
One who gains strength by overcoming obstacles possesses the only strength which can overcome adversity.,Albert Schweitzer
"An optimist is a person who sees a green light everywhere, while the pessimist sees only the red spotlight... The truly wise person is colour-blind.",Albert Schweitzer
What separates the winners from the losers is how a person reacts to each new twist of fate.,Donald Trump
Ignorant men don't know what good they hold in their hands until they've flung it away.,Sophocles
One does not discover new lands without consenting to lose sight of the shore for a very long time.,Andr� Gide
"All our talents increase in the using, and the every faculty, both good and bad, strengthen by exercise.",Anne Bronte
Tension is who you think you should be. Relaxation is who you are.,Chinese proverb
"I have just three things to teach: simplicity, patience, compassion. These three are your greatest treasures.",Lao Tzu
Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no hope at all.,Dale Carnegie
Each man has his own vocation; his talent is his call. There is one direction in which all space is open to him.,Ralph Emerson
Never bend your head. Always hold it high. Look the world right in the eye.,Helen Keller
"Just as a flower, which seems beautiful has color but no perfume, so are the fruitless words of a man who speaks them but does them not.",Dhammapada
"Chance is always powerful. Let your hook be always cast; in the pool where you least expect it, there will be a fish.",Ovid
"Just as a candle cannot burn without fire, men cannot live without a spiritual life.",Buddha
Sometimes it is better to lose and do the right thing than to win and do the wrong thing.,Tony Blair
Silence is the true friend that never betrays.,Confucius
"Imagination disposes of everything; it creates beauty, justice, and happiness, which are everything in this world.",Blaise Pascal
To want to be what one can be is purpose in life.,Cynthia Ozick
"To change ones life, start immediately, do it flamboyantly, no exceptions.",William James
I have done my best: that is about all the philosophy of living one needs.,Lin-yutang
"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.",John F. Kennedy
"If you let go a little, you will have a little peace. If you let go a lot, you will have a lot of peace.",Ajahn Chah
"Whoever is happy will make others happy, too.",Mark Twain
Character develops itself in the stream of life.,Johann Wolfgang von Goethe
